date,close,donchian_ceiling_20d,donchian_floor_20d,state
2020-04-21,0.88252,0.89162,0.86954,0
2020-04-22,0.87698,0.88879,0.86954,0
2020-04-23,0.87229,0.88457,0.86954,0
2020-04-24,0.87527,0.88444,0.86954,0
2020-04-26,0.875,0.88444,0.86954,0
2020-04-27,0.87141,0.88444,0.86954,0
2020-04-28,0.87116,0.883,0.86954,0
2020-04-29,0.87226,0.883,0.86954,0
2020-04-30,0.86996,0.88252,0.86954,0
2020-05-01,0.87887,0.88252,0.86954,0
2020-05-03,0.88,0.88252,0.86954,0
2020-05-04,0.87613,0.88252,0.86954,0
2020-05-05,0.87104,0.88252,0.86954,0
2020-05-06,0.87619,0.88252,0.86954,0
2020-05-07,0.87574,0.88252,0.86954,0
2020-05-08,0.87371,0.88252,0.86954,0
2020-05-10,0.87286,0.88252,0.86958,0
2020-05-11,0.87656,0.88252,0.86996,0
2020-05-12,0.88521,0.88521,0.86996,0
2020-05-13,0.88418,0.88521,0.86996,0
2020-05-14,0.88334,0.88521,0.86996,0
2020-05-15,0.89386,0.89386,0.86996,0
2020-05-17,0.89518,0.89518,0.86996,0
2020-05-18,0.8946,0.89518,0.86996,0
2020-05-19,0.8915,0.89518,0.86996,0
2020-05-20,0.89728,0.89728,0.86996,0
2020-05-21,0.89586,0.89728,0.86996,0
2020-05-22,0.89604,0.89728,0.86996,0
2020-05-24,0.89512,0.89728,0.87104,0
2020-05-25,0.89346,0.89728,0.87104,0
2020-05-26,0.89026,0.89728,0.87104,0
2020-05-27,0.89836,0.89836,0.87104,0
2020-05-28,0.8993,0.8993,0.87286,0
2020-05-29,0.89945,0.89945,0.87286,0
2020-05-31,0.9004,0.9004,0.87286,0
2020-06-01,0.89099,0.9004,0.87286,0
2020-06-02,0.88906,0.9004,0.87656,0
2020-06-03,0.89352,0.9004,0.88334,0
2020-06-04,0.89922,0.9004,0.88334,0
2020-06-05,0.89137,0.9004,0.88334,0
2020-06-07,0.88972,0.9004,0.88906,0
2020-06-08,0.88768,0.9004,0.88768,0
2020-06-09,0.89164,0.9004,0.88768,0
2020-06-10,0.89421,0.9004,0.88768,0
2020-06-11,0.89779,0.9004,0.88768,0
2020-06-12,0.89747,0.9004,0.88768,0
2020-06-14,0.89953,0.9004,0.88768,0
2020-06-15,0.89712,0.9004,0.88768,0
2020-06-16,0.89532,0.9004,0.88768,0
2020-06-17,0.8958,0.9004,0.88768,0
2020-06-18,0.90206,0.90206,0.88768,0
2020-06-19,0.90517,0.90517,0.88768,0
2020-06-21,0.90529,0.90529,0.88768,0
2020-06-22,0.90218,0.90529,0.88768,0
2020-06-23,0.90324,0.90529,0.88768,0
2020-06-24,0.90636,0.90636,0.88768,0
2020-06-25,0.90288,0.90636,0.88768,0
2020-06-26,0.90955,0.90955,0.88768,0
2020-06-28,0.90934,0.90955,0.88768,0
2020-06-29,0.91358,0.91358,0.88768,0
2020-06-30,0.90685,0.91358,0.88768,0
2020-07-01,0.90268,0.91358,0.89164,0
2020-07-02,0.90147,0.91358,0.89421,0
2020-07-03,0.90115,0.91358,0.89532,0
2020-07-05,0.90158,0.91358,0.89532,0
2020-07-06,0.90538,0.91358,0.89532,0
2020-07-07,0.899,0.91358,0.89532,0
2020-07-08,0.89888,0.91358,0.89532,0
2020-07-09,0.8955,0.91358,0.8955,0
2020-07-10,0.89518,0.91358,0.89518,0
2020-07-12,0.89564,0.91358,0.89518,0
2020-07-13,0.90386,0.91358,0.89518,0
2020-07-14,0.90781,0.91358,0.89518,0
2020-07-15,0.9068,0.91358,0.89518,0
2020-07-16,0.9068,0.91358,0.89518,0
2020-07-17,0.90932,0.91358,0.89518,0
2020-07-19,0.91024,0.91358,0.89518,0
2020-07-20,0.90482,0.91358,0.89518,0
2020-07-21,0.90598,0.91358,0.89518,0
2020-07-22,0.90866,0.91024,0.89518,0
2020-07-23,0.91088,0.91088,0.89518,0
2020-07-24,0.911,0.911,0.89518,0
2020-07-26,0.91057,0.911,0.89518,0
2020-07-27,0.91312,0.91312,0.89518,0
2020-07-28,0.90672,0.91312,0.89518,0
2020-07-29,0.90768,0.91312,0.89518,0
2020-07-30,0.90518,0.91312,0.89518,0
2020-07-31,0.90003,0.91312,0.89518,0
2020-08-02,0.89937,0.91312,0.89518,0
2020-08-03,0.89922,0.91312,0.89564,0
2020-08-04,0.90286,0.91312,0.89922,0
2020-08-05,0.90454,0.91312,0.89922,0
2020-08-06,0.90392,0.91312,0.89922,0
2020-08-07,0.90302,0.91312,0.89922,0
2020-08-09,0.90274,0.91312,0.89922,0
2020-08-10,0.89753,0.91312,0.89753,0
2020-08-11,0.89913,0.91312,0.89753,0
2020-08-12,0.90404,0.91312,0.89753,0
2020-08-13,0.90404,0.91312,0.89753,0
2020-08-14,0.90497,0.91312,0.89753,0
2020-08-16,0.90438,0.91312,0.89753,0
2020-08-17,0.90601,0.91312,0.89753,0
2020-08-18,0.90143,0.91312,0.89753,0
2020-08-19,0.90345,0.90768,0.89753,0
2020-08-20,0.89796,0.90768,0.89753,0
2020-08-21,0.90113,0.90601,0.89753,0
2020-08-23,0.90114,0.90601,0.89753,0
2020-08-24,0.90231,0.90601,0.89753,0
2020-08-25,0.89994,0.90601,0.89753,0
2020-08-26,0.89571,0.90601,0.89571,0
2020-08-27,0.89552,0.90601,0.89552,0
2020-08-28,0.89168,0.90601,0.89168,0
2020-08-30,0.89232,0.90601,0.89168,0
2020-08-31,0.89324,0.90601,0.89168,0
2020-09-01,0.88974,0.90601,0.88974,0
2020-09-02,0.88748,0.90601,0.88748,0
2020-09-03,0.89278,0.90601,0.88748,0
2020-09-04,0.8915,0.90601,0.88748,0
2020-09-06,0.89338,0.90601,0.88748,0
2020-09-07,0.89802,0.90601,0.88748,0
2020-09-08,0.9076,0.9076,0.88748,0
2020-09-09,0.9081,0.9081,0.88748,0
2020-09-10,0.92318,0.92318,0.88748,0
2020-09-11,0.92578,0.92578,0.88748,0
2020-09-13,0.92454,0.92578,0.88748,0
2020-09-14,0.92359,0.92578,0.88748,0
2020-09-15,0.91919,0.92578,0.88748,0
2020-09-16,0.91078,0.92578,0.88748,0
2020-09-17,0.91308,0.92578,0.88748,0
2020-09-18,0.91662,0.92578,0.88748,0
2020-09-20,0.91594,0.92578,0.88748,0
2020-09-21,0.91767,0.92578,0.88748,0
2020-09-22,0.91868,0.92578,0.88748,0
2020-09-23,0.91682,0.92578,0.88748,0
2020-09-24,0.91514,0.92578,0.88748,0
2020-09-25,0.91246,0.92578,0.8915,0
2020-09-27,0.91146,0.92578,0.8915,0
2020-09-28,0.90704,0.92578,0.89338,0
2020-09-29,0.91269,0.92578,0.89802,0
2020-09-30,0.90766,0.92578,0.90704,0
2020-10-01,0.9114,0.92578,0.90704,0
2020-10-02,0.90572,0.92578,0.90572,0
2020-10-04,0.90645,0.92578,0.90572,0
2020-10-05,0.90738,0.92454,0.90572,0
2020-10-06,0.91102,0.92359,0.90572,0
2020-10-07,0.91096,0.91919,0.90572,0
2020-10-08,0.90935,0.91868,0.90572,0
2020-10-09,0.90681,0.91868,0.90572,0
2020-10-11,0.90676,0.91868,0.90572,0
2020-10-12,0.90421,0.91868,0.90421,0
2020-10-13,0.9078,0.91868,0.90421,0
2020-10-14,0.90262,0.91868,0.90262,0
2020-10-15,0.90722,0.91682,0.90262,0
2020-10-16,0.90734,0.91514,0.90262,0
2020-10-18,0.90637,0.91269,0.90262,0
2020-10-19,0.90894,0.91269,0.90262,0
2020-10-20,0.91302,0.91302,0.90262,0
2020-10-21,0.90269,0.91302,0.90262,0
2020-10-22,0.90341,0.91302,0.90262,0
2020-10-23,0.90961,0.91302,0.90262,0
2020-10-25,0.90767,0.91302,0.90262,0
2020-10-26,0.90733,0.91302,0.90262,0
2020-10-27,0.90415,0.91302,0.90262,0
2020-10-28,0.90446,0.91302,0.90262,0
2020-10-29,0.90312,0.91302,0.90262,0
2020-10-30,0.89938,0.91302,0.89938,0
2020-11-01,0.90063,0.91302,0.89938,0
2020-11-02,0.90084,0.91302,0.89938,0
2020-11-03,0.8965,0.91302,0.8965,0
2020-11-04,0.90486,0.91302,0.8965,0
2020-11-05,0.8994,0.91302,0.8965,0
2020-11-06,0.90264,0.91302,0.8965,0
2020-11-08,0.90232,0.91302,0.8965,0
2020-11-09,0.8979,0.91302,0.8965,0
2020-11-10,0.89124,0.91302,0.89124,0
2020-11-11,0.8908,0.91302,0.8908,0
2020-11-12,0.89962,0.90961,0.8908,0
2020-11-13,0.89658,0.90961,0.8908,0
2020-11-15,0.896,0.90961,0.8908,0
2020-11-16,0.89696,0.90767,0.8908,0
2020-11-17,0.89492,0.90733,0.8908,0
2020-11-18,0.89387,0.90486,0.8908,0
2020-11-19,0.89568,0.90486,0.8908,0
2020-11-20,0.89247,0.90486,0.8908,0
2020-11-22,0.89192,0.90486,0.8908,0
2020-11-23,0.88866,0.90486,0.88866,0
2020-11-24,0.89042,0.90486,0.88866,0
2020-11-25,0.89038,0.90486,0.88866,0
2020-11-26,0.89196,0.90486,0.88866,0
2020-11-27,0.89826,0.90264,0.88866,0
2020-11-29,0.898,0.90264,0.88866,0
2020-11-30,0.89518,0.90232,0.88866,0
2020-12-01,0.89936,0.89962,0.88866,0
2020-12-02,0.90618,0.90618,0.88866,0
2020-12-03,0.90284,0.90618,0.88866,0
2020-12-04,0.9022,0.90618,0.88866,0
2020-12-06,0.90347,0.90618,0.88866,0
2020-12-07,0.90672,0.90672,0.88866,0
2020-12-08,0.90605,0.90672,0.88866,0
2020-12-09,0.90368,0.90672,0.88866,0
2020-12-10,0.91289,0.91289,0.88866,0
2020-12-11,0.91578,0.91578,0.88866,0
2020-12-13,0.91116,0.91578,0.88866,0
2020-12-14,0.91168,0.91578,0.88866,0
2020-12-15,0.90387,0.91578,0.88866,0
2020-12-16,0.90328,0.91578,0.89038,0
2020-12-17,0.90366,0.91578,0.89038,0
2020-12-18,0.90632,0.91578,0.89196,0
2020-12-20,0.91124,0.91578,0.89518,0
2020-12-21,0.90982,0.91578,0.89518,0
2020-12-22,0.9094,0.91578,0.89518,0
2020-12-23,0.90242,0.91578,0.89936,0
2020-12-24,0.89842,0.91578,0.89842,0
2020-12-27,0.89934,0.91578,0.89842,0
2020-12-28,0.90754,0.91578,0.89842,0
2020-12-29,0.90774,0.91578,0.89842,0
2020-12-30,0.90238,0.91578,0.89842,0
2020-12-31,0.89404,0.91578,0.89404,0
2021-01-03,0.89542,0.91578,0.89404,0
2021-01-04,0.90286,0.91578,0.89404,0
2021-01-05,0.90254,0.91578,0.89404,0
2021-01-06,0.90566,0.91168,0.89404,0
2021-01-07,0.90422,0.91168,0.89404,0
2021-01-08,0.90094,0.91124,0.89404,0
2021-01-10,0.90149,0.91124,0.89404,0
2021-01-11,0.89924,0.91124,0.89404,0
2021-01-12,0.8933,0.91124,0.8933,0
2021-01-13,0.89116,0.91124,0.89116,0
2021-01-14,0.88801,0.90982,0.88801,0
2021-01-15,0.8888,0.9094,0.88801,0
